ID,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,pos x,pos y,ACUSADO,FECHA_y,AAAA_y,MM_y,DD_y,ROL,VICTIMA_y,SEXO,EDAD
2016-0115,11,ARIAS Y TRONADOR,CALLE,12,-58.48935041,-34.54917673,CARGAS,9/2/2016,2016,9,2,CONDUCTOR,MOTO,MASCULINO,30
2016-0116,20,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,8,-58.44451316,-34.68475866,AUTO,9/2/2016,2016,9,2,CONDUCTOR,MOTO,MASCULINO,30
2016-0117,15,AV DEL LIBERTADOR Y TAGLE,AVENIDA,14,-58.39936478,-34.58271474,AUTO,9/3/2016,2016,9,3,CONDUCTOR,AUTO,MASCULINO,43
2016-0118,3,AUTOPISTA 1 SUR PTE ARTURO FRONDIZI KM 2.9,AUTOPISTA,1,-58.37936704,-34.62694503,AUTO,9/4/2016,2016,9,4,CONDUCTOR,AUTO,MASCULINO,27
2016-0119,6,CRISOLOGO LARRALDE Y AVDA TRIUNVIRATO,AVENIDA,12,-58.49659234,-34.56353635,AUTO,9/4/2016,2016,9,4,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,30
2016-0122,7,AV EVA PERON 4233,AVENIDA,9,-58.47256391,-34.65194557,PASAJEROS,9/13/2016,2016,9,13,CICLISTA,BICICLETA,MASCULINO,49
2016-0123,9,AV ASAMBLEA Y AV CNEL ESTEBAN BONORINO,AVENIDA,7,-58.45130953,-34.64053676,AUTO,9/14/2016,2016,9,14,CONDUCTOR,MOTO,FEMENINO,58
2016-0124,15,AVDA RIVADAVIA Y RIVERA INDARTE,AVENIDA,7,-58.46271207,-34.62884871,PASAJEROS,9/16/2016,2016,9,16,PEATON,PEATON,MASCULINO,67
2016-0125,12,AUTOPISTA PERITO MORENO Y AV JUAN B ALBERDI,AUTOPISTA,10,-58.49020869,-34.64243791,MOTO,9/17/2016,2016,9,17,CONDUCTOR,MOTO,MASCULINO,30
2016-0126,22,IRIGOYEN Y TINOGASTA,CALLE,10,-58.52572109,-34.62125906,CARGAS,9/18/2016,2016,9,18,CONDUCTOR,AUTO,MASCULINO,37
2016-0126,22,IRIGOYEN Y TINOGASTA,CALLE,10,-58.52572109,-34.62125906,CARGAS,9/18/2016,2016,9,18,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,60
2016-0127,10,AV MARIANO ACOSTA Y AV CNEL ROCA,AVENIDA,8,-58.44094791,-34.66677111,PASAJEROS,9/24/2016,2016,9,24,PEATON,PEATON,MASCULINO,50
2016-0128,11,CASTRO Y AV PAVON,AVENIDA,5,-58.41914024,-34.6305389,PASAJEROS,10/2/2016,2016,10,2,PEATON,PEATON,FEMENINO,81
2016-0130,12,AUTOPISTA 9 DE JULIO SUR Y AV BRASIL,AUTOPISTA,1,-58.37910942,-34.62764717,CARGAS,10/4/2016,2016,10,4,CONDUCTOR,MOTO,MASCULINO,29
2016-0131,19,MIRAVE 3500,CALLE,4,-58.39871183,-34.64539318,AUTO,10/9/2016,2016,10,9,PEATON,PEATON,MASCULINO,35
2016-0132,2,AV SAN JUAN Y 24 DE NOVIEMBRE,AVENIDA,3,-58.41036975,-34.62477021,PASAJEROS,10/10/2016,2016,10,10,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,30
2016-0133,0,AV LAS HERAS Y SANCHEZ DE BUSTAMANTE,AVENIDA,14,-58.40204698,-34.5834269,AUTO,10/14/2016,2016,10,14,CONDUCTOR,MOTO,MASCULINO,41
2016-0134,5,AV PIEDRA BUENA Y 2 DE ABRIL 1982,AVENIDA,8,-58.48935287,-34.67648597,OBJETO FIJO,10/23/2016,2016,10,23,CONDUCTOR,MOTO,MASCULINO,25
2016-0135,5,AV FIGUEROA ALCORTA  Y PINEDO,AVENIDA,14,-58.42260225,-34.56403694,AUTO,10/24/2016,2016,10,24,PEATON,PEATON,MASCULINO,29
2016-0136,0,AU BUENOS AIRES - LA PLATA KM. 4,AUTOPISTA,4,-58.441664463445676,-34.61969973512046,CARGAS,10/25/2016,2016,10,25,CONDUCTOR,MOTO,MASCULINO,30
2016-0137,0,AV SAN MARTIN Y LADINES,AVENIDA,11,-58.51537091,-34.59035925,MOTO,10/25/2016,2016,10,25,CONDUCTOR,MOTO,MASCULINO,30
2016-0138,20,AV CABILDO Y BLANCO ENCALADA,AVENIDA,13,-58.4590967,-34.55922742,CARGAS,10/27/2016,2016,10,27,CICLISTA,BICICLETA,FEMENINO,33
2016-0139,23,AV PRESIDENTE FIGUEROA ALCORTA Y AV DORREGO,AVENIDA,14,-58.42008769,-34.56539579,MOTO,10/28/2016,2016,10,28,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,35
